payoff,model,monthly,axis,h,contracts,mean_MC_delta,delta_MAE,delta_RMSE,resolved_rows,direction_agreement
corrected,xgb,False,coupon_regular,0.0025,64,17.403039594603307,12.167339789312177,16.359330586950588,320,0.809375
corrected,xgb,False,coupon_regular,0.005,64,34.80607918920674,20.89959708927102,24.053211184348353,320,0.890625
corrected,xgb,False,coupon_regular,0.01,64,69.61215837841357,40.25033212458265,45.63950519051594,320,0.925
corrected,xgb,False,first_strike,-0.05,64,52.1542614286805,37.043620275954744,49.006115295555034,305,0.8885245901639345
corrected,xgb,False,first_strike,-0.025,64,23.793368043574826,19.562396430107178,26.636485497252583,280,0.8607142857142858
corrected,xgb,False,first_strike,-0.01,64,8.910124813097609,10.279193592812675,13.912153820910847,275,0.5854545454545454
corrected,xgb,False,first_strike,-0.005,64,4.404548459233889,5.0783993486679115,6.8663918470998215,260,0.5769230769230769
corrected,xgb,False,first_strike,0.005,64,-4.217786553293496,5.271876254426004,7.395222933951441,250,0.0
corrected,xgb,False,first_strike,0.01,64,-8.208873180871384,11.979505119568511,17.51232235263013,260,0.3769230769230769
corrected,xgb,False,first_strike,0.025,64,-19.083966193598933,20.01657522122823,25.728804819583466,280,0.725
corrected,xgb,False,first_strike,0.05,64,-33.03256531183979,32.823140653931965,43.12461349604868,285,0.743859649122807
corrected,xgb,False,ki_barrier,-0.05,32,163.56664843443062,86.92759066106552,127.41719356984576,160,0.95
corrected,xgb,False,ki_barrier,-0.025,32,82.79579381153849,49.39348461667688,65.95823068866696,160,0.925
corrected,xgb,False,ki_barrier,-0.01,32,33.211118455696784,36.212316273132025,45.63917516061757,160,0.78125
corrected,xgb,False,ki_barrier,-0.005,32,16.551832793532004,41.655684835117036,53.58088594596949,160,0.78125
corrected,xgb,False,ki_barrier,0.005,32,-16.508354244850707,16.696696786696545,19.878150048136405,160,0.03125
corrected,xgb,False,ki_barrier,0.01,32,-32.94324540855909,31.550908490821097,37.77479949202439,160,0.0625
corrected,xgb,False,ki_barrier,0.025,32,-81.10604033891187,44.562689221196,55.602364105223224,160,0.9625
corrected,xgb,False,ki_barrier,0.05,32,-156.86562535425,60.92617866113585,80.56978634552947,160,0.99375
corrected,xgb,False,last_strike,-0.05,64,38.193334168422176,35.22343987470639,46.693452736244346,295,0.6949152542372882
corrected,xgb,False,last_strike,-0.025,64,18.12897345667515,19.8489756055443,27.783707204615403,270,0.7037037037037037
corrected,xgb,False,last_strike,-0.01,64,6.99939657664657,9.573848265450351,14.18389828166277,230,0.4260869565217391
corrected,xgb,False,last_strike,-0.005,64,3.4330275135181436,8.44512260462769,14.217697270614488,160,0.49375
corrected,xgb,False,last_strike,0.005,64,-3.359949978114811,3.359949978114811,5.558151368234948,160,0.0
corrected,xgb,False,last_strike,0.01,64,-6.708253060457151,7.043166278321236,11.213675906738676,225,0.008888888888888889
corrected,xgb,False,last_strike,0.025,64,-16.145281797847367,17.30407820226521,31.00894310383815,260,0.6576923076923077
corrected,xgb,False,last_strike,0.05,64,-29.55108097201374,33.98973269998862,62.743813113359025,270,0.6
corrected,xgb,True,coupon_regular,-0.01,33,-99.31185905504967,67.95713550038067,76.40986554604018,165,0.8606060606060606
corrected,xgb,True,coupon_regular,-0.005,33,-49.65592952752487,36.860439560368434,40.70655258577074,165,0.8121212121212121
corrected,xgb,True,coupon_regular,-0.0025,33,-24.827964763762342,18.26034927503268,21.396728049746248,165,0.7757575757575758
corrected,xgb,True,coupon_regular,-0.001,33,-9.93118590550494,8.04460133567861,9.765697156803919,165,0.7212121212121212
corrected,xgb,True,coupon_regular,0.001,33,9.931185905505114,9.865428318752118,11.565342289893254,165,0.6121212121212121
corrected,xgb,True,coupon_regular,0.0025,33,24.827964763762544,21.813894310369566,24.328498021975552,165,0.6545454545454545
corrected,xgb,True,coupon_regular,0.005,33,49.65592952752506,40.331738856653075,43.043999600911974,165,0.8181818181818182
corrected,xgb,True,coupon_regular,0.01,33,99.3118590550499,74.41005716545692,80.15821185108206,165,0.9151515151515152
corrected,xgb,True,first_strike,-0.05,33,29.74368001640128,24.70781886515667,30.680095261574362,165,0.7515151515151515
corrected,xgb,True,first_strike,-0.025,33,11.33685415412883,14.86725902382152,18.70527900994433,155,0.8
corrected,xgb,True,first_strike,-0.01,33,3.8432598635618818,7.216788445113162,9.591535533034635,150,0.47333333333333333
corrected,xgb,True,first_strike,-0.005,33,1.7668073910318864,4.199730430966927,8.26996659574351,150,0.47333333333333333
corrected,xgb,True,first_strike,0.005,33,-1.452857977968435,3.6103468968044528,4.595060309803433,135,0.0
corrected,xgb,True,first_strike,0.01,33,-2.64283683702295,6.62098264467721,8.519145473758943,150,0.3933333333333333
corrected,xgb,True,first_strike,0.025,33,-5.4510249509266355,13.847029905808421,16.555579414467175,155,0.5548387096774193
corrected,xgb,True,first_strike,0.05,33,-6.773477489675271,21.37343172399866,25.5985994705536,160,0.575
corrected,xgb,True,ki_barrier,-0.05,1,157.57702964280546,50.05467754866183,51.55195609445358,5,1.0
corrected,xgb,True,ki_barrier,-0.025,1,78.990946825788,7.10680273841906,8.777341340698786,5,1.0
corrected,xgb,True,ki_barrier,-0.01,1,32.01478121543838,13.955289104232326,14.450099151049379,5,1.0
corrected,xgb,True,ki_barrier,-0.005,1,15.902230319763808,4.177505268224723,4.325395927457862,5,1.0
corrected,xgb,True,ki_barrier,0.005,1,-12.659567379359013,12.659567379359013,12.659567379359013,5,0.0
