item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl
KR6593350525,735635,STEP,1,1.0341939393939394,1.0170084,1.0193003,0
KR6503318521,735635,STEP,1,0.9154181818181818,1.0113745,1.01181,0
KR6503342521,735635,STEP,0,0.93324,1.0052474,1.0059903,0
KR6553373525,735635,STEP,1,0.944180808080808,1.0008829,1.0004296,0
KR6573347525,735635,STEP,1,0.860548,0.9588033,0.9596755,0
KR6503314520,735635,STEP,0,0.923571,1.0109489,1.0120656,0
KR6703336521,735635,STEP,1,0.9573040404040404,1.005619,1.0064044,0
KR6533320521,735635,STEP,1,0.9915,0.9436998,0.94533753,0
KR6583306529,735635,STEP,0,0.8971629999999999,1.0015765,1.0017502,0
KR6503313522,735635,STEP,0,0.955412,1.003901,1.0040958,0
KR6583308525,735635,STEP,1,0.913167,1.0111356,1.0123463,0
KR6583309523,735635,STEP,1,0.8707875,0.9691777,0.97177964,0
KR6553372527,735635,STEP,1,0.9553959595959596,1.0060846,1.0065207,0
KR6553371529,735635,STEP,1,0.940779797979798,1.0099086,1.0108451,0
KR6503321525,735635,STEP,1,0.9578131313131314,1.0063069,1.0068272,0
KR6703339525,735638,STEP,1,0.9659272727272727,1.0089127,1.0093279,0
KR6593313523,735638,STEP,1,0.852994,0.97812927,0.9788643,0
KR6593316526,735638,STEP,0,0.864107,0.9965006,1.000697,0
KR6593315528,735638,STEP,0,0.8652639999999999,1.0072967,1.0086194,0
KR6513318529,735638,STEP,1,0.901891,0.9715334,0.9701408,0
KR6503324529,735638,STEP,0,0.8956219999999999,0.9969744,1.0016596,0
KR6513317521,735638,STEP,1,0.8938389999999999,0.9706518,0.97012967,0
KR6503337521,735638,STEP,1,0.90243543,1.0043174,1.0036745,0
KR6503335525,735638,STEP,0,0.89921513,1.003439,1.0046117,0
KR6503336523,735638,STEP,1,0.90078332,0.99834883,0.99746644,0
KR6503333520,735638,STEP,0,0.90675253,1.0000619,1.0012531,0
KR6593321526,735638,STEP,1,0.865088,1.0032094,1.0031459,0
KR6573359520,735638,STEP,1,0.808937,0.99931043,0.9988822,0
KR6573337526,735638,STEP,0,0.8598414141414141,0.99983895,0.99926555,0
KR6503343529,735638,STEP,0,0.922864,0.9941285,0.9946459,0
KR6553377526,735638,STEP,0,0.9198292929292928,1.0061575,1.0067382,0
KR6503334528,735638,STEP,0,0.90481723,1.002626,1.0035429,0
KR6593318522,735638,STEP,1,0.865266,0.9677231,0.96927077,0
KR6503332522,735638,STEP,0,0.91539038,1.002391,1.0026329,0
KR6573358522,735638,STEP,1,0.8868440000000001,0.9982605,1.0009662,0
KR6593320528,735638,STEP,1,0.8930950000000001,1.010355,1.0116438,0
KR6523383521,735638,STEP,0,0.9123979797979798,1.0042713,1.0046251,0
KR6673310522,735638,STEP,0,0.886683,0.9943884,0.9950945,0
KR6503331524,735638,STEP,0,0.91827656,0.9989689,0.9997303,0
KR6553379522,735638,STEP,0,0.937959595959596,0.999975,0.99972916,0
KR6573357524,735638,STEP,1,0.801453,1.0047473,1.0039982,0
KR6503327522,735638,STEP,0,0.93448101,1.1496981,1.1555135,0
